id,IPL_year,Match_Info,Match_Date,Match_Team,Match_Result,Match_Cricbuzz_URL,URL,Stadium,Location,Highlights_available
5273200,2011,24th match,22-04-2011,KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 9 wkts,https://www.cricbuzz.com/cricket-scores/9922/kkr-vs-rcb-24th-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9922/kkr-vs-rcb-24th-match-indian-premier-league-2011,Eden Gardens,Kolkata,FALSE
7690750,2011,25th match,22-04-2011,MUMBAI INDIANS vs CHENNAI SUPER KINGS,Mumbai Indians won by 8 runs,https://www.cricbuzz.com/cricket-scores/9923/mi-vs-csk-25th-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9923/mi-vs-csk-25th-match-indian-premier-league-2011,Wankhede Stadium,Mumbai,FALSE
1288044,2011,26th match,23-04-2011,DELHI CAPITALS vs KINGS XI PUNJAB,Delhi Daredevils won by 29 runs,https://www.cricbuzz.com/cricket-scores/9924/dc-vs-kxip-26th-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9924/dc-vs-kxip-26th-match-indian-premier-league-2011,Arun Jaitley Stadium,Delhi,FALSE
9710326,2011,27th match,24-04-2011,DECCAN CHARGERS vs MUMBAI INDIANS,Mumbai Indians won by 37 runs,https://www.cricbuzz.com/cricket-scores/9925/dcg-vs-mi-27th-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9925/dcg-vs-mi-27th-match-indian-premier-league-2011,Rajiv Gandhi International Stadium,Hyderabad,FALSE
6692672,2011,28th match,24-04-2011,RAJASTHAN ROYALS vs KOCHI TUSKERS KERALA,Rajasthan Royals won by 8 wkts,https://www.cricbuzz.com/cricket-scores/9926/rr-vs-ktk-28th-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9926/rr-vs-ktk-28th-match-indian-premier-league-2011,Sawai Mansingh Stadium,Jaipur,FALSE
6294864,2011,29th match,25-04-2011,CHENNAI SUPER KINGS vs PUNE WARRIORS,Chennai Super Kings won by 25 runs,https://www.cricbuzz.com/cricket-scores/9927/csk-vs-pwi-29th-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9927/csk-vs-pwi-29th-match-indian-premier-league-2011,MA Chidambaram Stadium,Chennai,FALSE
7777564,2011,30th match,26-04-2011,DELHI CAPITALS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 3 wkts,https://www.cricbuzz.com/cricket-scores/9928/dc-vs-rcb-30th-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9928/dc-vs-rcb-30th-match-indian-premier-league-2011,Arun Jaitley Stadium,Delhi,FALSE
2283123,2011,31st match,27-04-2011,PUNE WARRIORS vs CHENNAI SUPER KINGS,Chennai Super Kings won by 8 wkts,https://www.cricbuzz.com/cricket-scores/9929/pwi-vs-csk-31st-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9929/pwi-vs-csk-31st-match-indian-premier-league-2011,Dr DY Patil Sports Academy,Mumbai,FALSE
7224010,2011,32nd match,27-04-2011,KOCHI TUSKERS KERALA vs DECCAN CHARGERS,Deccan Chargers won by 55 runs,https://www.cricbuzz.com/cricket-scores/9930/ktk-vs-dcg-32nd-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9930/ktk-vs-dcg-32nd-match-indian-premier-league-2011,Nehru Stadium,Kochi,FALSE
3967675,2011,33rd match,28-04-2011,DELHI CAPITALS vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 17 runs,https://www.cricbuzz.com/cricket-scores/9931/dc-vs-kkr-33rd-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9931/dc-vs-kkr-33rd-match-indian-premier-league-2011,Arun Jaitley Stadium,Delhi,FALSE
7725311,2011,34th match,29-04-2011,RAJASTHAN ROYALS vs MUMBAI INDIANS,Rajasthan Royals won by 7 wkts,https://www.cricbuzz.com/cricket-scores/9932/rr-vs-mi-34th-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9932/rr-vs-mi-34th-match-indian-premier-league-2011,Sawai Mansingh Stadium,Jaipur,FALSE
6770773,2011,35th match,29-04-2011,ROYAL CHALLENGERS BANGALORE vs PUNE WARRIORS,Royal Challengers Bangalore won by 26 runs,https://www.cricbuzz.com/cricket-scores/9933/rcb-vs-pwi-35th-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9933/rcb-vs-pwi-35th-match-indian-premier-league-2011,M.Chinnaswamy Stadium,Bengaluru,FALSE
5422072,2011,36th match,30-04-2011,KOCHI TUSKERS KERALA vs DELHI CAPITALS,Delhi Daredevils won by 38 runs,https://www.cricbuzz.com/cricket-scores/9934/ktk-vs-dc-36th-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9934/ktk-vs-dc-36th-match-indian-premier-league-2011,Nehru Stadium,Kochi,FALSE
9568016,2011,37th match,30-04-2011,KOLKATA KNIGHT RIDERS vs KINGS XI PUNJAB,Kolkata Knight Riders won by 8 wkts,https://www.cricbuzz.com/cricket-scores/9935/kkr-vs-kxip-37th-match-indian-premier-league-2011,https://www.cricbuzz.com/live-cricket-scorecard/9935/kkr-vs-kxip-37th-match-indian-premier-league-2011,Eden Gardens,Kolkata,FALSE
